PeakID (cmd=annotatePeaks.pl repr_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep1_peak_49	GL000220.1	148336	148715	+	555	NA	promoter-TSS (ENST00000614535.1)	misc_RNA-promoter-TSS (ENST00000614535.1)	-734	ENST00000614535.1	ENSG00000273937	ENST00000614535			ENSG00000273937			misc_RNA
rep1_peak_7514	chr20	44714647	44715131	+	551	NA	promoter-TSS (ENST00000190983.5)	protein_coding-promoter-TSS (ENST00000190983.5)	6	ENST00000372865.4	ENSG00000064205	ENST00000497421			CCN5			protein_coding
rep1_peak_7525	chr20	45971813	45972548	+	551	NA	promoter-TSS (ENST00000322927.3)	protein_coding-promoter-TSS (ENST00000322927.3)	23	ENST00000322927.3	ENSG00000198026	ENST00000494955			ZNF335			protein_coding
rep1_peak_3589	chr14	93045080	93045465	+	537	NA	intron (ENST00000555495.5, intron 1 of 8)	protein_coding-intron (ENST00000267615.11, intron 3 of 10)	-8298	ENST00000553655.1	ENSG00000100605	ENST00000557309			ITPK1			protein_coding
rep1_peak_11233	chr7	75156514	75157014	+	525	NA	exon (ENST00000438382.2, exon 11 of 11)	unprocessed_pseudogene-exon (ENST00000438382.2, exon 11 of 11)	15280	ENST00000438382.2	ENSG00000165178	ENST00000438382			NCF1C			unprocessed_pseudogene
rep1_peak_728	chr1	117268910	117269282	+	520	NA	Intergenic	Intergenic	-3086	ENST00000664471.1	ENSG00000235202	ENST00000664471			LINC01525			lncRNA
rep1_peak_169	KI270733.1	166278	166658	+	519	NA	promoter-TSS (ENST00000615130.1)	misc_RNA-promoter-TSS (ENST00000615130.1)	-750	ENST00000615130.1	ENSG00000276312	ENST00000615130			ENSG00000276312			misc_RNA
rep1_peak_10068	chr5	178124185	178124585	+	508	NA	exon (ENST00000274605.6, exon 5 of 5)	protein_coding-exon (ENST00000274605.6, exon 5 of 5)	-6611	ENST00000515098.5	ENSG00000145916	ENST00000508647			RMND5B			protein_coding
rep1_peak_6597	chr2	64866852	64867161	+	507	NA	Intergenic	Intergenic	-3380	ENST00000445865.1	ENSG00000234572	ENST00000445865			LINC01800			lncRNA
rep1_peak_12563	chr9	134412392	134412714	+	506	NA	intron (ENST00000672570.1, intron 4 of 9)	protein_coding-intron (ENST00000356384.4, intron 6 of 11)	26431	ENST00000649020.1	ENSG00000186350	ENST00000672570			RXRA			protein_coding
rep1_peak_7959	chr21	42376348	42376739	+	506	NA	exon (ENST00000398405.5, exon 10 of 12)	protein_coding-exon (ENST00000398405.5, exon 10 of 12)	6210	ENST00000478680.1	ENSG00000160183	ENST00000398405			TMPRSS3			protein_coding
rep1_peak_3494	chr14	69191345	69191824	+	506	NA	promoter-TSS (ENST00000312994.9)	protein_coding-promoter-TSS (ENST00000312994.9)	29	ENST00000409675.5	ENSG00000081177	ENST00000409675			EXD2			protein_coding
rep1_peak_8922	chr3	193872344	193872698	+	490	NA	Intergenic	Intergenic	-28497	ENST00000445168.1	ENSG00000229155	ENST00000439074			LINC02038			lncRNA
rep1_peak_4706	chr16	71808742	71809177	+	490	NA	promoter-TSS (ENST00000299980.9)	protein_coding-promoter-TSS (ENST00000299980.9)	23	ENST00000565009.5	ENSG00000166747	ENST00000566161			AP1G1			protein_coding
rep1_peak_1446	chr10	5496552	5496951	+	488	NA	Intergenic	Intergenic	2819	ENST00000380332.5	ENSG00000178372	ENST00000380332			CALML5			protein_coding
rep1_peak_11895	chr8	94719636	94719956	+	478	NA	promoter-TSS (ENST00000414645.6)	protein_coding-promoter-TSS (ENST00000414645.6)	-79	ENST00000520774.5	ENSG00000156162	ENST00000519353			DPY19L4			protein_coding
rep1_peak_4029	chr15	75368265	75368747	+	472	NA	promoter-TSS (ENST00000421803.6)	protein_coding-promoter-TSS (ENST00000421803.6)	82	ENST00000565652.1	ENSG00000140400	ENST00000564785			MAN2C1			protein_coding
rep1_peak_11987	chr8	127668548	127669208	+	464	NA	intron (ENST00000652367.1, intron 2 of 4)	lncRNA-intron (ENST00000652367.1, intron 2 of 4)	2112	ENST00000652367.1	ENSG00000286010	ENST00000652367			ENSG00000286010			lncRNA
rep1_peak_8726	chr3	129485609	129486087	+	463	NA	intron (ENST00000693654.1, intron 15 of 29)	protein_coding-intron (ENST00000296266.7, intron 16 of 30)	-1658	ENST00000511425.5	ENSG00000163913	ENST00000692508			IFT122			protein_coding
rep1_peak_8923	chr3	194003008	194003536	+	440	NA	intron (ENST00000667794.1, intron 1 of 1)	lncRNA-intron (ENST00000397645.2, intron 1 of 2)	364	ENST00000414309.1	ENSG00000214146	ENST00000667794			LINC02026			lncRNA
rep1_peak_12495	chr9	128298662	128299308	+	439	NA	intron (ENST00000652598.1, intron 4 of 6)	protein_coding-intron (ENST00000652598.1, intron 4 of 6)	12369	ENST00000461180.1	ENSG00000167112	ENST00000372890			TRUB2			protein_coding
rep1_peak_177	KI270733.1	175261	175827	+	439	NA	Intergenic	Intergenic	1588	ENST00000618998.1	ENSG00000275757	ENST00000618998			5_8S_rRNA			rRNA
rep1_peak_5335	chr17	61411555	61412433	+	437	NA	promoter-TSS (ENST00000592009.1)	lncRNA-promoter-TSS (ENST00000592009.1)	243	ENST00000623772.1	ENSG00000187013	ENST00000623772			LINC02875			lncRNA
rep1_peak_138	KI270733.1	125960	127779	+	436	NA	Intergenic	Intergenic	-2008	ENST00000616292.1	ENSG00000276700	ENST00000616292			RNA5-8SN4			rRNA
rep1_peak_3569	chr14	90383151	90383557	+	436	NA	promoter-TSS (ENST00000615251.1)	lncRNA-promoter-TSS (ENST00000615251.1)	-11	ENST00000615251.1	ENSG00000275198	ENST00000615251			LINC02960			lncRNA
rep1_peak_4237	chr16	1971882	1972165	+	432	NA	promoter-TSS (ENST00000561907.5)	protein_coding-promoter-TSS (ENST00000561907.5)	-30	ENST00000568546.6	ENSG00000183751	ENST00000332704			TBL3			protein_coding
rep1_peak_1094	chr1	163321677	163322028	+	429	NA	promoter-TSS (ENST00000271452.8)	protein_coding-promoter-TSS (ENST00000271452.8)	-38	ENST00000450453.6	ENSG00000143228	ENST00000524800			NUF2			protein_coding
rep1_peak_324	chr1	7447840	7448204	+	427	NA	intron (ENST00000700444.1, intron 5 of 7)	protein_coding-intron (ENST00000303635.12, intron 5 of 22)	-6468	ENST00000440032.1	ENSG00000225126	ENST00000440032			CAMTA1-AS1			lncRNA
rep1_peak_8457	chr3	49132969	49133887	+	423	NA	promoter-TSS (ENST00000305544.9)	protein_coding-promoter-TSS (ENST00000305544.9)	-310	ENST00000418109.5	ENSG00000172037	ENST00000418109			LAMB2			protein_coding
rep1_peak_4005	chr15	72231128	72231632	+	420	NA	promoter-TSS (ENST00000319622.10)	protein_coding-promoter-TSS (ENST00000319622.10)	6	ENST00000389093.7	ENSG00000067225	ENST00000567118			PKM			protein_coding
rep1_peak_9832	chr5	96934913	96935472	+	419	NA	promoter-TSS (ENST00000231368.10)	protein_coding-promoter-TSS (ENST00000231368.10)	-202	ENST00000395784.1	ENSG00000113441	ENST00000474122			LNPEP			protein_coding
rep1_peak_7066	chr2	203238726	203239076	+	414	NA	promoter-TSS (ENST00000356079.9)	protein_coding-promoter-TSS (ENST00000356079.9)	-76	ENST00000449301.5	ENSG00000119004	ENST00000431118			CYP20A1			protein_coding
rep1_peak_60	GL000220.1	159559	160253	+	410	NA	Intergenic	Intergenic	3909	ENST00000619779.1	ENSG00000273730	ENST00000619779			5_8S_rRNA			rRNA
rep1_peak_12073	chr8	143928348	143928761	+	408	NA	intron (ENST00000693060.1, intron 25 of 31)	protein_coding-intron (ENST00000322810.8, intron 25 of 31)	11043	ENST00000345136.8	ENSG00000178209	ENST00000357649			PLEC			protein_coding
rep1_peak_20	GL000220.1	109171	110930	+	405	NA	Intergenic	Intergenic	-1975	ENST00000611446.1	ENSG00000274917	ENST00000611446			RNA5-8SN5			rRNA
rep1_peak_11065	chr7	47979402	47979737	+	403	NA	promoter-TSS (ENST00000258774.10)	protein_coding-promoter-TSS (ENST00000258774.10)	-16	ENST00000458191.5	ENSG00000136273	ENST00000433977			HUS1			protein_coding
rep1_peak_7540	chr20	47501658	47502473	+	400	NA	intron (ENST00000372004.7, intron 1 of 22)	protein_coding-intron (ENST00000371997.3, intron 1 of 22)	124	ENST00000371997.3	ENSG00000124151	ENST00000490248			NCOA3			protein_coding
rep1_peak_181	KI270733.1	178868	179758	+	399	NA	Intergenic	Intergenic	5357	ENST00000618998.1	ENSG00000275757	ENST00000618998			5_8S_rRNA			rRNA
rep1_peak_26	GL000220.1	115636	116250	+	396	NA	Intergenic	Intergenic	3918	ENST00000611446.1	ENSG00000274917	ENST00000611446			RNA5-8SN5			rRNA
rep1_peak_3957	chr15	64387651	64387954	+	395	NA	promoter-TSS (ENST00000261884.8)	protein_coding-promoter-TSS (ENST00000261884.8)	-34	ENST00000557834.5	ENSG00000103671	ENST00000560567			TRIP4			protein_coding
rep1_peak_143	KI270733.1	132457	133105	+	394	NA	Intergenic	Intergenic	3904	ENST00000616292.1	ENSG00000276700	ENST00000616292			RNA5-8SN4			rRNA
rep1_peak_12545	chr9	133336049	133336393	+	393	NA	promoter-TSS (ENST00000372022.6)	protein_coding-promoter-TSS (ENST00000372022.6)	-33	ENST00000372022.6	ENSG00000148296	ENST00000372022			SURF6			protein_coding
rep1_peak_4213	chr16	690338	690599	+	390	NA	promoter-TSS (ENST00000248142.7)	protein_coding-promoter-TSS (ENST00000248142.7)	-24	ENST00000248142.7	ENSG00000127580	ENST00000248142			WDR24			protein_coding
rep1_peak_12487	chr9	127561831	127562111	+	389	NA	intron (ENST00000478917.1, intron 1 of 3)	protein_coding-intron (ENST00000373312.4, intron 1 of 13)	6914	ENST00000478917.1	ENSG00000136830	ENST00000468379			NIBAN2			protein_coding
rep1_peak_3587	chr14	93017403	93017735	+	387	NA	intron (ENST00000555495.5, intron 1 of 8)	protein_coding-intron (ENST00000267615.11, intron 3 of 10)	-18630	ENST00000553695.5	ENSG00000100605	ENST00000557309			ITPK1			protein_coding
rep1_peak_54	GL000220.1	153114	154924	+	384	NA	Intergenic	Intergenic	-1978	ENST00000619779.1	ENSG00000273730	ENST00000619779			5_8S_rRNA			rRNA
rep1_peak_11964	chr8	123396278	123396819	+	384	NA	promoter-TSS (ENST00000287394.10)	protein_coding-promoter-TSS (ENST00000287394.10)	-101	ENST00000287394.10	ENSG00000156802	ENST00000521496			ATAD2			protein_coding
rep1_peak_3486	chr14	67311903	67312328	+	383	NA	exon (ENST00000553974.1, exon 3 of 3)	protein_coding-exon (ENST00000553974.1, exon 3 of 3)	-3179	ENST00000677972.1	ENSG00000072415	ENST00000677972			PALS1			protein_coding
rep1_peak_174	KI270733.1	171008	172886	+	379	NA	Intergenic	Intergenic	-2009	ENST00000618998.1	ENSG00000275757	ENST00000618998			5_8S_rRNA			rRNA
rep1_peak_7265	chr20	10434101	10434646	+	373	NA	promoter-TSS (ENST00000334534.10)	protein_coding-promoter-TSS (ENST00000334534.10)	-151	ENST00000713549.1	ENSG00000285508	ENST00000609375			ENSG00000285508			protein_coding
rep1_peak_141	KI270733.1	130183	130722	+	371	NA	Intergenic	Intergenic	1575	ENST00000616292.1	ENSG00000276700	ENST00000616292			RNA5-8SN4			rRNA
rep1_peak_6423	chr2	11530994	11531351	+	370	NA	intron (ENST00000628795.2, intron 1 of 2)	protein_coding-intron (ENST00000628795.2, intron 1 of 2)	-2873	ENST00000381486.7	ENSG00000196208	ENST00000396123			GREB1			protein_coding
rep1_peak_7904	chr21	31784828	31785114	+	369	NA	Intergenic	Intergenic	49239	ENST00000610276.1	ENSG00000273091	ENST00000610276			ENSG00000273091			lncRNA
rep1_peak_6024	chr19	34734038	34734440	+	368	NA	promoter-TSS (ENST00000392232.7)	protein_coding-promoter-TSS (ENST00000392232.7)	-4	ENST00000492450.3	ENSG00000197841	ENST00000593781			ZNF181			protein_coding
rep1_peak_4786	chr16	85520892	85521359	+	366	NA	intron (ENST00000637419.1, intron 2 of 2)	protein_coding-intron (ENST00000637419.1, intron 2 of 2)	31312	ENST00000620845.1	ENSG00000278716	ENST00000620845			ENSG00000278716			lncRNA
rep1_peak_180	KI270733.1	177526	178239	+	365	NA	Intergenic	Intergenic	3926	ENST00000618998.1	ENSG00000275757	ENST00000618998			5_8S_rRNA			rRNA
rep1_peak_1242	chr1	207321392	207321783	+	361	NA	promoter-TSS (ENST00000314754.12)	protein_coding-promoter-TSS (ENST00000314754.12)	5	ENST00000695828.1	ENSG00000196352	ENST00000488171			CD55			protein_coding
rep1_peak_2905	chr12	109052415	109052751	+	360	NA	promoter-TSS (ENST00000257548.10)	protein_coding-promoter-TSS (ENST00000257548.10)	7	ENST00000257548.10	ENSG00000135093	ENST00000536393			USP30			protein_coding
rep1_peak_8412	chr3	37782473	37782928	+	360	NA	intron (ENST00000411817.2, intron 1 of 2)	protein_coding-intron (ENST00000264741.10, intron 25 of 27)	2685	ENST00000411817.2	ENSG00000144668	ENST00000461533			ITGA9			protein_coding
rep1_peak_4228	chr16	1351811	1352044	+	357	NA	promoter-TSS (ENST00000007390.3)	protein_coding-promoter-TSS (ENST00000007390.3)	-4	ENST00000526820.5	ENSG00000090581	ENST00000684688			GNPTG			protein_coding
rep1_peak_23	GL000220.1	113328	113869	+	356	NA	Intergenic	Intergenic	1573	ENST00000611446.1	ENSG00000274917	ENST00000611446			RNA5-8SN5			rRNA
rep1_peak_1213	chr1	202034713	202035092	+	350	NA	Intergenic	Intergenic	-4949	ENST00000457453.1	ENSG00000235811	ENST00000457453			ENSG00000235811			processed_pseudogene
rep1_peak_61	GL000220.1	160885	161795	+	349	NA	Intergenic	Intergenic	5343	ENST00000619779.1	ENSG00000273730	ENST00000619779			5_8S_rRNA			rRNA
rep1_peak_5330	chr17	61230988	61231485	+	343	NA	intron (ENST00000587294.5, intron 1 of 4)	protein_coding-intron (ENST00000390652.9, intron 23 of 24)	-13980	ENST00000592702.5	ENSG00000141376	ENST00000626960			BCAS3			protein_coding
rep1_peak_3035	chr12	131860827	131861257	+	343	NA	intron (ENST00000542763.2, intron 1 of 2)	lncRNA-intron (ENST00000542763.2, intron 1 of 2)	3622	ENST00000542763.2	ENSG00000256955	ENST00000542763			ENSG00000256955			lncRNA
rep1_peak_1639	chr10	45914851	45915162	+	343	NA	intron (ENST00000693310.1, intron 2 of 7)	transcribed_unprocessed_pseudogene-intron (ENST00000417555.2, intron 7 of 11)	-22523	ENST00000440803.7	ENSG00000290921	ENST00000440803			ENSG00000290921			lncRNA
rep1_peak_687	chr1	109240052	109240449	+	343	NA	Intergenic	Intergenic	4019	ENST00000468588.1	ENSG00000031698	ENST00000369923			SARS1			protein_coding
rep1_peak_3575	chr14	91127415	91128020	+	342	NA	intron (ENST00000521064.5, intron 1 of 4)	protein_coding-intron (ENST00000256324.15, intron 1 of 13)	1292	ENST00000408175.1	ENSG00000221102	ENST00000408175			SNORA11B			snoRNA
rep1_peak_12433	chr9	113112916	113113490	+	339	NA	exon (ENST00000434051.1, exon 1 of 2)	lncRNA-exon (ENST00000434051.1, exon 1 of 2)	130	ENST00000434051.1	ENSG00000231528	ENST00000453010			FAM225A			lncRNA
rep1_peak_4301	chr16	11612304	11612763	+	338	NA	intron (ENST00000576334.1, intron 3 of 3)	protein_coding-intron (ENST00000574848.5, intron 3 of 3)	-14033	ENST00000571627.5	ENSG00000189067	ENST00000574703			LITAF			protein_coding
rep1_peak_5348	chr17	63842604	63842984	+	334	NA	promoter-TSS (ENST00000225742.13)	protein_coding-promoter-TSS (ENST00000225742.13)	-96	ENST00000584400.5	ENSG00000108604	ENST00000450364			SMARCD2			protein_coding
rep1_peak_25	GL000220.1	114575	115455	+	333	NA	Intergenic	Intergenic	2990	ENST00000611446.1	ENSG00000274917	ENST00000611446			RNA5-8SN5			rRNA
rep1_peak_7305	chr20	24746410	24746749	+	329	NA	Intergenic	Intergenic	67032	ENST00000432834.1	ENSG00000231015	ENST00000432834			ENSG00000231015			lncRNA
rep1_peak_4203	chr16	327129	327737	+	328	NA	intron (ENST00000481769.1, intron 1 of 4)	protein_coding-intron (ENST00000262320.8, intron 2 of 10)	18889	ENST00000461023.5	ENSG00000103126	ENST00000354866			AXIN1			protein_coding
rep1_peak_3948	chr15	63048239	63048601	+	328	NA	promoter-TSS (ENST00000317516.12)	protein_coding-promoter-TSS (ENST00000317516.12)	-7	ENST00000651622.2	ENSG00000140416	ENST00000559281			TPM1			protein_coding
rep1_peak_1007	chr1	152392878	152393290	+	327	NA	intron (ENST00000411804.1, intron 1 of 1)	lncRNA-intron (ENST00000411804.1, intron 1 of 1)	-6493	ENST00000453847.2	ENSG00000183586	ENST00000453847			HMGN3P1			processed_pseudogene
rep1_peak_57	GL000220.1	157289	157858	+	326	NA	Intergenic	Intergenic	1576	ENST00000619779.1	ENSG00000273730	ENST00000619779			5_8S_rRNA			rRNA
rep1_peak_9938	chr5	139709030	139709532	+	325	NA	intron (ENST00000515296.1, intron 2 of 5)	lncRNA-intron (ENST00000515296.1, intron 2 of 5)	8809	ENST00000363886.1	ENSG00000200756	ENST00000363886			RNU6-236P			snRNA
rep1_peak_11063	chr7	47575962	47576357	+	325	NA	intron (ENST00000434451.1, intron 1 of 6)	protein_coding-intron (ENST00000311160.14, intron 1 of 30)	5472	ENST00000434451.1	ENSG00000136205	ENST00000415929			TNS3			protein_coding
rep1_peak_11378	chr7	103344652	103344974	+	324	NA	promoter-TSS (ENST00000249270.11)	protein_coding-promoter-TSS (ENST00000249270.11)	-15	ENST00000379257.7	ENSG00000105821	ENST00000483637			DNAJC2			protein_coding
rep1_peak_1003	chr1	151909388	151909939	+	324	NA	promoter-TSS (ENST00000368814.8)	protein_coding-promoter-TSS (ENST00000368814.8)	-26	ENST00000489410.1	ENSG00000159445	ENST00000483207			THEM4			protein_coding
rep1_peak_5156	chr17	40322318	40322642	+	324	NA	promoter-TSS (ENST00000582914.1)	protein_coding-promoter-TSS (ENST00000582914.1)	-511	ENST00000582914.1	ENSG00000131759	ENST00000420042			RARA			protein_coding
rep1_peak_9220	chr4	77076008	77076567	+	324	NA	promoter-TSS (ENST00000237654.9)	protein_coding-promoter-TSS (ENST00000237654.9)	22	ENST00000507788.2	ENSG00000118816	ENST00000513774			CCNI			protein_coding
rep1_peak_179	KI270733.1	176504	177382	+	324	NA	Intergenic	Intergenic	2987	ENST00000618998.1	ENSG00000275757	ENST00000618998			5_8S_rRNA			rRNA
rep1_peak_7569	chr20	50434588	50434930	+	323	NA	Intergenic	Intergenic	-5276	ENST00000497504.3	ENSG00000244376	ENST00000497504			RN7SL636P			misc_RNA
rep1_peak_5280	chr17	51120927	51121208	+	321	NA	promoter-TSS (ENST00000262013.12)	protein_coding-promoter-TSS (ENST00000262013.12)	-199	ENST00000262013.12	ENSG00000008294	ENST00000514205			SPAG9			protein_coding
rep1_peak_144	KI270733.1	133803	134965	+	321	NA	Intergenic	Intergenic	5507	ENST00000616292.1	ENSG00000276700	ENST00000616292			RNA5-8SN4			rRNA
rep1_peak_2460	chr11	118436194	118436487	+	321	NA	promoter-TSS (ENST00000389506.10)	protein_coding-promoter-TSS (ENST00000389506.10)	-116	ENST00000529852.3	ENSG00000118058	ENST00000534085			KMT2A			protein_coding
rep1_peak_1053	chr1	157132038	157132553	+	317	NA	TTS (ENST00000326786.4)	protein_coding-TTS (ENST00000326786.4)	3933	ENST00000422857.1	ENSG00000235700	ENST00000422857			CYCSP52			processed_pseudogene
rep1_peak_6425	chr2	11539422	11539939	+	317	NA	promoter-TSS (ENST00000263834.9)	protein_coding-promoter-TSS (ENST00000263834.9)	-163	ENST00000263834.9	ENSG00000196208	ENST00000396123			GREB1			protein_coding
rep1_peak_920	chr1	145708149	145708514	+	317	NA	promoter-TSS (ENST00000417171.6)	protein_coding-promoter-TSS (ENST00000417171.6)	-183	ENST00000443667.1	ENSG00000174827	ENST00000417171			PDZK1			protein_coding
rep1_peak_8332	chr3	10594968	10595216	+	314	NA	intron (ENST00000646379.1, intron 2 of 21)	protein_coding-intron (ENST00000646379.1, intron 2 of 21)	-24717	ENST00000440152.1	ENSG00000236999	ENST00000440152			ATP2B2-IT1			lncRNA
rep1_peak_677	chr1	108237203	108237949	+	312	NA	intron (ENST00000613157.2, intron 6 of 15)	protein_coding-intron (ENST00000415641.8, intron 6 of 14)	6500	ENST00000415641.8	ENSG00000196427	ENST00000613157			NBPF4			protein_coding
